Team1,Team2,Winner,Date
Team Tidebound,Xtreme Gaming,Xtreme Gaming,2025-09-06 10:10:15
Xtreme Gaming,Team Tidebound,Xtreme Gaming,2025-09-06 09:00:12
Xtreme Gaming,Team Falcons,Xtreme Gaming,2025-09-05 12:20:00
Team Falcons,Xtreme Gaming,Xtreme Gaming,2025-09-05 10:24:43
Xtreme Gaming,Team Falcons,Team Falcons,2025-09-05 09:01:02
Team Spirit,Xtreme Gaming,Xtreme Gaming,2025-09-04 17:48:07
Team Spirit,Xtreme Gaming,Team Spirit,2025-09-04 16:42:59
Xtreme Gaming,Team Spirit,Xtreme Gaming,2025-09-04 15:30:09
Xtreme Gaming,Aurora Gaming,Xtreme Gaming,2025-09-04 10:25:42
Xtreme Gaming,Aurora Gaming,Xtreme Gaming,2025-09-04 09:05:44
Xtreme Gaming,Team Tidebound,Team Tidebound,2025-08-03 07:53:24
Team Tidebound,Xtreme Gaming,Team Tidebound,2025-08-03 06:37:51
Xtreme Gaming,BB Team,Xtreme Gaming,2025-08-02 14:37:40
Xtreme Gaming,BB Team,Xtreme Gaming,2025-08-02 13:22:49
Xtreme Gaming,BB Team,BB Team,2025-08-02 12:18:51
Xtreme Gaming,Nigma Galaxy,Xtreme Gaming,2025-08-02 04:46:05
Xtreme Gaming,Nigma Galaxy,Xtreme Gaming,2025-08-02 03:14:29
PVISION,Xtreme Gaming,Xtreme Gaming,2025-08-01 04:37:27
Xtreme Gaming,PVISION,Xtreme Gaming,2025-08-01 03:32:33
Invictus Gaming,Xtreme Gaming,Xtreme Gaming,2025-07-31 12:40:36
Xtreme Gaming,Invictus Gaming,Xtreme Gaming,2025-07-31 11:40:57
Xtreme Gaming,BOOM Esports,Xtreme Gaming,2025-07-30 08:02:21
Xtreme Gaming,BOOM Esports,Xtreme Gaming,2025-07-30 07:00:18
Xtreme Gaming,Tundra Esports,Tundra Esports,2025-07-29 14:50:18
Xtreme Gaming,Tundra Esports,Xtreme Gaming,2025-07-29 13:45:04
Xtreme Gaming,Tundra Esports,Tundra Esports,2025-07-29 12:43:17
Xtreme Gaming,Nigma Galaxy,Nigma Galaxy,2025-07-29 09:07:22
Nigma Galaxy,Xtreme Gaming,Xtreme Gaming,2025-07-29 07:47:45
Xtreme Gaming,Nigma Galaxy,Nigma Galaxy,2025-07-29 06:29:18
Xtreme Gaming,PVISION,PVISION,2025-07-28 12:03:51
PVISION,Xtreme Gaming,PVISION,2025-07-28 10:54:37
Xtreme Gaming,PARIVISION,Xtreme Gaming,2025-07-28 09:29:08
PVISION,Xtreme Gaming,PVISION,2025-07-13 11:15:05
PVISION,Xtreme Gaming,PVISION,2025-07-13 10:00:04
Execration,Xtreme Gaming,Xtreme Gaming,2025-07-12 11:05:00
Execration,Xtreme Gaming,Xtreme Gaming,2025-07-12 10:00:00
Xtreme Gaming,Talon,Talon,2025-07-10 11:04:00
Talon,Xtreme Gaming,Xtreme Gaming,2025-07-10 10:00:01
Natus Vincere,Xtreme Gaming,Natus Vincere,2025-07-09 11:06:01
Natus Vincere,Xtreme Gaming,Natus Vincere,2025-07-09 10:00:01
Xtreme Gaming,Team Spirit,Xtreme Gaming,2025-07-08 11:31:29
Team Spirit,Xtreme Gaming,Team Spirit,2025-07-08 10:11:48
Xtreme Gaming,Team Spirit,Team Spirit,2025-06-28 09:14:59
Team Spirit,Xtreme Gaming,Team Spirit,2025-06-28 08:01:38
Gaimin Gladiators,Xtreme Gaming,Gaimin Gladiators,2025-06-27 14:10:24
Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,2025-06-27 13:01:16
Xtreme Gaming,Natus Vincere,Xtreme Gaming,2025-06-26 14:16:23
