Team1,Team2,Winner,Date
Xtreme Gaming,Natus Vincere,Xtreme Gaming,2025-06-26 13:10:10
Natus Vincere,Xtreme Gaming,Natus Vincere,2025-06-26 12:05:22
Heroic,Xtreme Gaming,Xtreme Gaming,2025-06-25 13:04:22
BetBoom Team,PARIVISION,BetBoom Team,2025-09-06 18:12:24
BetBoom Team,PARIVISION,PARIVISION,2025-09-06 16:47:40
PARIVISION,BetBoom Team,BetBoom Team,2025-09-06 15:35:59
BetBoom Team,Aurora Gaming,BetBoom Team,2025-09-06 10:11:22
Aurora Gaming,BetBoom Team,BetBoom Team,2025-09-06 09:02:17
Natus Vincere,BetBoom Team,BetBoom Team,2025-09-05 12:31:14
Natus Vincere,BetBoom Team,BetBoom Team,2025-09-05 11:24:26
BOOM Esports,BetBoom Team,BetBoom Team,2025-09-04 21:19:58
BOOM Esports,BetBoom Team,BetBoom Team,2025-09-04 20:06:59
Nigma Galaxy,BetBoom Team,Nigma Galaxy,2025-09-04 16:13:58
BetBoom Team,Nigma Galaxy,BetBoom Team,2025-09-04 14:40:11
Nigma Galaxy,BetBoom Team,Nigma Galaxy,2025-09-04 13:01:04
PARIVISION,BetBoom Team,PARIVISION,2025-08-23 13:41:02
PARIVISION,BetBoom Team,PARIVISION,2025-08-23 12:21:21
AVULUS,BetBoom Team,BetBoom Team,2025-08-22 15:34:07
AVULUS,BetBoom Team,BetBoom Team,2025-08-22 14:20:23
Team Spirit,BetBoom Team,Team Spirit,2025-08-21 17:30:54
Team Spirit,BetBoom Team,Team Spirit,2025-08-21 16:07:16
BetBoom Team,Team Falcons,Team Falcons,2025-08-20 12:24:37
Team Falcons,BetBoom Team,Team Falcons,2025-08-20 11:20:24
BetBoom Team,Gaimin Gladiators,BetBoom Team,2025-08-19 17:26:35
Gaimin Gladiators,BetBoom Team,BetBoom Team,2025-08-19 16:08:03
Team Yandex,BetBoom Team,BetBoom Team,2025-07-28 10:21:04
Gaimin Gladiators,BetBoom Team,BetBoom Team,2025-06-29 15:46:56
Gaimin Gladiators,BetBoom Team,Gaimin Gladiators,2025-06-29 14:25:15
BetBoom Team,Gaimin Gladiators,BetBoom Team,2025-06-29 13:24:54
Gaimin Gladiators,BetBoom Team,BetBoom Team,2025-06-29 12:09:54
Team Liquid,BetBoom Team,BetBoom Team,2025-06-29 10:17:36
Team Liquid,BetBoom Team,BetBoom Team,2025-06-29 09:06:19
Team Spirit,BetBoom Team,BetBoom Team,2025-06-28 17:31:12
Team Spirit,BetBoom Team,BetBoom Team,2025-06-28 16:24:25
Team Spirit,BetBoom Team,Team Spirit,2025-06-28 15:15:26
Natus Vincere,BetBoom Team,BetBoom Team,2025-06-28 11:38:25
Natus Vincere,BetBoom Team,BetBoom Team,2025-06-28 10:30:42
Team Liquid,BetBoom Team,Team Liquid,2025-06-27 17:49:42
Team Liquid,BetBoom Team,BetBoom Team,2025-06-27 16:32:22
Team Liquid,BetBoom Team,Team Liquid,2025-06-27 15:22:20
BetBoom Team,Team Spirit,BetBoom Team,2025-06-26 20:10:19
Team Spirit,BetBoom Team,BetBoom Team,2025-06-26 19:01:18
Team Tidebound,BetBoom Team,BetBoom Team,2025-06-25 17:00:05
Team Tidebound,BetBoom Team,Team Tidebound,2025-06-25 15:47:11
BetBoom Team,Team Tidebound,BetBoom Team,2025-06-25 14:38:44
Natus Vincere,BetBoom Team,Natus Vincere,2025-06-24 17:36:50
Natus Vincere,BetBoom Team,BetBoom Team,2025-06-24 16:16:39
Natus Vincere,BetBoom Team,Natus Vincere,2025-06-24 14:45:37
BetBoom Team,Xtreme Gaming,BetBoom Team,2025-06-23 08:51:04
Xtreme Gaming,BetBoom Team,BetBoom Team,2025-06-23 08:00:12
Virtus.pro,BetBoom Team,BetBoom Team,2025-06-22 11:25:41
Virtus.pro,BetBoom Team,BetBoom Team,2025-06-22 10:24:47
Edge,BetBoom Team,Edge,2025-06-21 15:45:12
Team Falcons,Team Tidebound,Team Tidebound,2025-09-06 19:11:56
Team Falcons,Team Tidebound,Team Tidebound,2025-09-06 17:26:46
Team Tidebound,Team Falcons,Team Falcons,2025-09-06 15:36:57
Team Tidebound,Xtreme Gaming,Xtreme Gaming,2025-09-06 10:10:15
Xtreme Gaming,Team Tidebound,Xtreme Gaming,2025-09-06 09:00:12
PARIVISION,Team Tidebound,Team Tidebound,2025-09-05 15:07:46
PARIVISION,Team Tidebound,Team Tidebound,2025-09-05 13:59:13
Team Liquid,Team Tidebound,Team Tidebound,2025-09-04 20:19:36
Team Tidebound,Team Liquid,Team Tidebound,2025-09-04 19:01:00
Team Tidebound,Natus Vincere,Team Tidebound,2025-09-04 14:29:23
Team Tidebound,Natus Vincere,Natus Vincere,2025-09-04 13:28:11
Natus Vincere,Team Tidebound,Team Tidebound,2025-09-04 12:20:07
Team Tidebound,PARIVISION,PARIVISION,2025-08-22 12:46:28
PARIVISION,Team Tidebound,Team Tidebound,2025-08-22 11:26:46
Team Tidebound,Team Liquid,Team Liquid,2025-08-21 10:17:16
Team Liquid,Team Tidebound,Team Liquid,2025-08-21 09:00:27
Virtus.pro,Team Tidebound,Team Tidebound,2025-08-20 14:52:42
Team Tidebound,Virtus.pro,Team Tidebound,2025-08-20 13:36:47
Aurora Gaming,Team Tidebound,Aurora Gaming,2025-08-19 19:51:42
Team Tidebound,Aurora Gaming,Aurora Gaming,2025-08-19 18:30:03
Team Tidebound,Tundra Esports,Team Tidebound,2025-08-03 14:51:45
Team Tidebound,Tundra Esports,Tundra Esports,2025-08-03 13:34:05
Team Tidebound,Tundra Esports,Team Tidebound,2025-08-03 12:25:22
Team Tidebound,Tundra Esports,Team Tidebound,2025-08-03 11:11:56
Team Tidebound,Tundra Esports,Tundra Esports,2025-08-03 10:09:21
Xtreme Gaming,Team Tidebound,Team Tidebound,2025-08-03 07:53:24
Team Tidebound,Xtreme Gaming,Team Tidebound,2025-08-03 06:37:51
Team Tidebound,Tundra Esports,Tundra Esports,2025-08-02 10:52:39
Team Tidebound,Tundra Esports,Tundra Esports,2025-08-02 09:33:07
Team Tidebound,Gaimin Gladiators,Team Tidebound,2025-08-01 16:45:53
Gaimin Gladiators,Team Tidebound,Team Tidebound,2025-08-01 15:33:41
Team Tidebound,Gaimin Gladiators,Team Tidebound,2025-07-30 10:02:24
Gaimin Gladiators,Team Tidebound,Gaimin Gladiators,2025-07-30 08:57:42
Team Tidebound,Gaimin Gladiators,Team Tidebound,2025-07-30 07:56:30
Team Tidebound,BB Team,Team Tidebound,2025-07-30 04:17:07
Team Tidebound,BB Team,Team Tidebound,2025-07-30 03:04:21
Team Tidebound,Team Yandex,Team Tidebound,2025-07-29 07:51:16
Team Yandex,Team Tidebound,Team Yandex,2025-07-29 06:30:54
Team Tidebound,Team Yandex,Team Tidebound,2025-07-29 05:27:38
Invictus Gaming,Team Tidebound,Team Tidebound,2025-07-28 06:28:08
Team Tidebound,Invictus Gaming,Team Tidebound,2025-07-28 05:32:19
Team Tidebound,Heroic,Heroic,2025-07-03 14:17:19
Heroic,Team Tidebound,Heroic,2025-07-03 13:05:42
PARIVISION,Team Tidebound,PARIVISION,2025-07-02 17:21:26
PARIVISION,Team Tidebound,PARIVISION,2025-07-02 16:17:14
Shopify Rebellion,Team Tidebound,Shopify Rebellion,2025-07-02 12:36:19
Shopify Rebellion,Team Tidebound,Team Tidebound,2025-07-02 11:06:34
Team Yandex,Team Tidebound,Team Yandex,2025-07-01 16:56:20
Team Tidebound,Team Yandex,Team Tidebound,2025-07-01 15:49:52
Gaimin Gladiators,Team Tidebound,Team Tidebound,2025-07-01 12:37:41
Invictus Gaming,Heroic,Heroic,2025-09-06 21:53:39
Heroic,Invictus Gaming,Heroic,2025-09-06 20:43:24
Heroic,Tundra Esports,Heroic,2025-09-06 13:18:17
Heroic,Tundra Esports,Heroic,2025-09-06 12:18:27
Heroic,Wildcard,Heroic,2025-09-05 18:17:49
Heroic,Wildcard,Heroic,2025-09-05 17:09:31
BOOM Esports,Heroic,Heroic,2025-09-05 12:07:15
Heroic,BOOM Esports,Heroic,2025-09-05 11:02:18
Heroic,Natus Vincere,Natus Vincere,2025-09-04 20:05:48
Natus Vincere,Heroic,Natus Vincere,2025-09-04 18:58:26
PARIVISION,Heroic,PARIVISION,2025-09-04 13:19:30
Heroic,PARIVISION,PARIVISION,2025-09-04 11:43:24
Heroic,Talon,Talon,2025-07-12 14:56:00
Talon,Heroic,Talon,2025-07-12 13:30:02
Heroic,PVISION,PVISION,2025-07-11 18:55:01
Heroic,PVISION,Heroic,2025-07-11 17:45:03
PVISION,Heroic,PVISION,2025-07-11 16:40:35
Team Liquid,Heroic,Heroic,2025-07-11 13:56:01
Heroic,Team Liquid,Team Liquid,2025-07-11 12:38:12
Heroic,Shopify Rebellion,Heroic,2025-07-09 18:40:00
Shopify Rebellion,Heroic,Heroic,2025-07-09 17:34:01
Heroic,PVISION,PVISION,2025-07-08 21:15:04
Heroic,PVISION,PVISION,2025-07-08 19:38:48
Heroic,Aurora Gaming,Aurora Gaming,2025-07-03 20:12:39
Heroic,Aurora Gaming,Heroic,2025-07-03 19:18:41
Heroic,Aurora Gaming,Aurora Gaming,2025-07-03 18:13:22
Team Tidebound,Heroic,Heroic,2025-07-03 14:17:19
Heroic,Team Tidebound,Heroic,2025-07-03 13:05:42
Heroic,Team Liquid,Team Liquid,2025-07-02 19:52:08
Team Liquid,Heroic,Team Liquid,2025-07-02 18:54:40
Heroic,Nigma Galaxy,Heroic,2025-07-02 10:10:01
Nigma Galaxy,Heroic,Heroic,2025-07-02 09:00:01
Heroic,Aurora Gaming,Heroic,2025-07-01 19:10:02
Heroic,Aurora Gaming,Aurora Gaming,2025-07-01 17:51:26
AVULUS,Heroic,Heroic,2025-07-01 13:37:20
Heroic,AVULUS,Heroic,2025-07-01 12:23:07
Heroic,Xtreme Gaming,Xtreme Gaming,2025-06-25 13:04:22
Xtreme Gaming,Heroic,Xtreme Gaming,2025-06-25 11:51:41
Heroic,Edge,Heroic,2025-06-24 15:25:06
Edge,Heroic,Heroic,2025-06-24 14:14:44
Heroic,Edge,Edge,2025-06-24 13:02:12
Heroic,AVULUS,Heroic,2025-06-23 13:36:53
AVULUS,Heroic,Heroic,2025-06-23 12:19:52
Heroic,Wildcard,Wildcard,2025-06-22 14:40:50
Heroic,Wildcard,Heroic,2025-06-22 13:39:50
Heroic,Wildcard,Wildcard,2025-06-22 12:23:57
Team Liquid,Heroic,Team Liquid,2025-06-21 16:01:07
Heroic,Team Liquid,Team Liquid,2025-06-21 14:49:37
Team Liquid,Heroic,Heroic,2025-06-21 13:27:31
Heroic,OG.LATAM,Heroic,2025-06-14 00:26:28
PARIVISION,Wildcard,PARIVISION,2025-09-07 14:17:18
Wildcard,PARIVISION,PARIVISION,2025-09-07 13:05:47
BetBoom Team,PARIVISION,BetBoom Team,2025-09-06 18:12:24
BetBoom Team,PARIVISION,PARIVISION,2025-09-06 16:47:40
PARIVISION,BetBoom Team,BetBoom Team,2025-09-06 15:35:59
Team Spirit,PARIVISION,PARIVISION,2025-09-06 10:21:40
Team Spirit,PARIVISION,PARIVISION,2025-09-06 09:01:33
PARIVISION,Team Tidebound,Team Tidebound,2025-09-05 15:07:46
PARIVISION,Team Tidebound,Team Tidebound,2025-09-05 13:59:13
Nigma Galaxy,PARIVISION,PARIVISION,2025-09-04 19:54:29
PARIVISION,Nigma Galaxy,PARIVISION,2025-09-04 18:37:29
PARIVISION,Heroic,PARIVISION,2025-09-04 13:19:30
Heroic,PARIVISION,PARIVISION,2025-09-04 11:43:24
PARIVISION,Team Falcons,Team Falcons,2025-08-23 21:44:15
PARIVISION,Team Falcons,Team Falcons,2025-08-23 20:10:35
Team Falcons,PARIVISION,PARIVISION,2025-08-23 18:52:17
PARIVISION,BetBoom Team,PARIVISION,2025-08-23 13:41:02
PARIVISION,BetBoom Team,PARIVISION,2025-08-23 12:21:21
Team Tidebound,PARIVISION,PARIVISION,2025-08-22 12:46:28
PARIVISION,Team Tidebound,Team Tidebound,2025-08-22 11:26:46
PARIVISION,Virtus.pro,PARIVISION,2025-08-21 12:51:10
Virtus.pro,PARIVISION,PARIVISION,2025-08-21 11:34:53
PARIVISION,Aurora Gaming,PARIVISION,2025-08-20 13:10:02
PARIVISION,Aurora Gaming,Aurora Gaming,2025-08-20 11:58:05
Team Liquid,PARIVISION,Team Liquid,2025-08-19 14:50:17
Team Liquid,PARIVISION,PARIVISION,2025-08-19 13:25:46
Xtreme Gaming,PARIVISION,Xtreme Gaming,2025-07-28 09:29:08
Team Liquid,PARIVISION,Team Liquid,2025-07-04 19:22:02
Team Liquid,PARIVISION,Team Liquid,2025-07-04 18:22:10
Team Liquid,PARIVISION,Team Liquid,2025-07-04 17:06:28
Aurora Gaming,PARIVISION,PARIVISION,2025-07-04 14:25:11
PARIVISION,Aurora Gaming,PARIVISION,2025-07-04 13:20:55
Team Liquid,PARIVISION,Team Liquid,2025-07-03 17:03:19
Team Liquid,PARIVISION,Team Liquid,2025-07-03 16:00:54
PARIVISION,Team Tidebound,PARIVISION,2025-07-02 17:21:26
PARIVISION,Team Tidebound,PARIVISION,2025-07-02 16:17:14
Gaimin Gladiators,PARIVISION,PARIVISION,2025-07-02 09:55:53
Gaimin Gladiators,PARIVISION,PARIVISION,2025-07-02 09:01:00
Shopify Rebellion,PARIVISION,PARIVISION,2025-07-01 14:51:20
Shopify Rebellion,PARIVISION,Shopify Rebellion,2025-07-01 13:38:17
Team Yandex,PARIVISION,PARIVISION,2025-07-01 10:09:00
Team Yandex,PARIVISION,PARIVISION,2025-07-01 09:01:07
BetBoom Team,PARIVISION,PARIVISION,2025-06-01 17:48:01
BetBoom Team,PARIVISION,PARIVISION,2025-06-01 16:38:01
BetBoom Team,PARIVISION,PARIVISION,2025-06-01 15:38:54
BetBoom Team,PARIVISION,PARIVISION,2025-05-31 18:06:00
BetBoom Team,PARIVISION,PARIVISION,2025-05-31 16:58:00
PARIVISION,Gaimin Gladiators,PARIVISION,2025-05-29 21:05:00
Gaimin Gladiators,PARIVISION,PARIVISION,2025-05-29 19:58:01
Nigma Galaxy,PARIVISION,PARIVISION,2025-05-28 22:18:00
Nigma Galaxy,Aurora Gaming,Nigma Galaxy,2025-09-07 12:00:16
Aurora Gaming,Nigma Galaxy,Nigma Galaxy,2025-09-07 10:21:25
Nigma Galaxy,Aurora Gaming,Aurora Gaming,2025-09-07 09:00:59
Natus Vincere,Nigma Galaxy,Nigma Galaxy,2025-09-06 14:25:23
Natus Vincere,Nigma Galaxy,Nigma Galaxy,2025-09-06 13:17:15
Nigma Galaxy,Natus Vincere,Natus Vincere,2025-09-06 11:46:06
Nigma Galaxy,Invictus Gaming,Invictus Gaming,2025-09-05 19:33:12
Invictus Gaming,Nigma Galaxy,Invictus Gaming,2025-09-05 18:18:14
Nigma Galaxy,Invictus Gaming,Nigma Galaxy,2025-09-05 17:19:11
Nigma Galaxy,Team Liquid,Team Liquid,2025-09-05 15:12:40
Nigma Galaxy,Team Liquid,Team Liquid,2025-09-05 13:56:40
Team Liquid,Nigma Galaxy,Nigma Galaxy,2025-09-05 12:46:21
Nigma Galaxy,PARIVISION,PARIVISION,2025-09-04 19:54:29
PARIVISION,Nigma Galaxy,PARIVISION,2025-09-04 18:37:29
Nigma Galaxy,BetBoom Team,Nigma Galaxy,2025-09-04 16:13:58
BetBoom Team,Nigma Galaxy,BetBoom Team,2025-09-04 14:40:11
Nigma Galaxy,BetBoom Team,Nigma Galaxy,2025-09-04 13:01:04
Xtreme Gaming,Nigma Galaxy,Xtreme Gaming,2025-08-02 04:46:05
Xtreme Gaming,Nigma Galaxy,Xtreme Gaming,2025-08-02 03:14:29
Tundra Esports,Nigma Galaxy,Tundra Esports,2025-08-01 14:15:31
Tundra Esports,Nigma Galaxy,Tundra Esports,2025-08-01 13:09:10
Nigma Galaxy,Tundra Esports,Nigma Galaxy,2025-08-01 11:25:03
Nigma Galaxy,Tundra Esports,Nigma Galaxy,2025-07-30 10:18:36
Tundra Esports,Nigma Galaxy,Nigma Galaxy,2025-07-30 09:18:30
PVISION,Nigma Galaxy,Nigma Galaxy,2025-07-30 05:56:30
PVISION,Nigma Galaxy,Nigma Galaxy,2025-07-30 04:23:17
PVISION,Nigma Galaxy,PVISION,2025-07-30 03:02:28
Xtreme Gaming,Nigma Galaxy,Nigma Galaxy,2025-07-29 09:07:22
Nigma Galaxy,Xtreme Gaming,Xtreme Gaming,2025-07-29 07:47:45
Xtreme Gaming,Nigma Galaxy,Nigma Galaxy,2025-07-29 06:29:18
BOOM Esports,Nigma Galaxy,Nigma Galaxy,2025-07-28 08:07:32
BOOM Esports,Nigma Galaxy,Nigma Galaxy,2025-07-28 07:02:21
AVULUS,Nigma Galaxy,AVULUS,2025-07-02 14:49:52
AVULUS,Nigma Galaxy,AVULUS,2025-07-02 13:47:29
Heroic,Nigma Galaxy,Heroic,2025-07-02 10:10:01
Nigma Galaxy,Heroic,Heroic,2025-07-02 09:00:01
Team Liquid,Nigma Galaxy,Team Liquid,2025-07-01 15:19:49
Nigma Galaxy,Aurora Gaming,Aurora Gaming,2025-07-01 10:46:06
Nigma Galaxy,Aurora Gaming,Nigma Galaxy,2025-07-01 09:05:13
Xtreme Gaming,Nigma Galaxy,Xtreme Gaming,2025-06-24 11:39:49
Nigma Galaxy,Xtreme Gaming,Xtreme Gaming,2025-06-24 10:04:14
Virtus.pro,Nigma Galaxy,Nigma Galaxy,2025-06-23 17:20:17
Nigma Galaxy,Virtus.pro,Virtus.pro,2025-06-23 15:56:20
Nigma Galaxy,Virtus.pro,Nigma Galaxy,2025-06-23 14:53:23
OG,Nigma Galaxy,OG,2025-06-22 17:25:46
OG,Nigma Galaxy,OG,2025-06-22 16:16:55
OG,Nigma Galaxy,OG,2025-06-22 15:49:45
Natus Vincere,Nigma Galaxy,Natus Vincere,2025-06-21 18:50:16
Nigma Galaxy,Natus Vincere,Nigma Galaxy,2025-06-21 17:54:35
Natus Vincere,Nigma Galaxy,Natus Vincere,2025-06-21 16:48:10
Tundra Esports,Team Liquid,Tundra Esports,2025-09-07 18:54:35
Team Liquid,Tundra Esports,Team Liquid,2025-09-07 17:12:27
Tundra Esports,Team Liquid,Tundra Esports,2025-09-07 15:46:16
Heroic,Tundra Esports,Heroic,2025-09-06 13:18:17
Heroic,Tundra Esports,Heroic,2025-09-06 12:18:27
Natus Vincere,Tundra Esports,Tundra Esports,2025-09-05 19:59:05
Natus Vincere,Tundra Esports,Tundra Esports,2025-09-05 18:47:08
Natus Vincere,Tundra Esports,Natus Vincere,2025-09-05 17:09:55
Team Spirit,Tundra Esports,Team Spirit,2025-09-05 11:26:28
Team Spirit,Tundra Esports,Team Spirit,2025-09-05 10:13:04
Team Spirit,Tundra Esports,Tundra Esports,2025-09-05 09:03:45
Team Falcons,Tundra Esports,Team Falcons,2025-09-04 16:47:14
Tundra Esports,Team Falcons,Tundra Esports,2025-09-04 15:37:22
Team Falcons,Tundra Esports,Team Falcons,2025-09-04 14:30:18
Invictus Gaming,Tundra Esports,Tundra Esports,2025-09-04 11:23:36
Tundra Esports,Invictus Gaming,Invictus Gaming,2025-09-04 10:13:41
Invictus Gaming,Tundra Esports,Tundra Esports,2025-09-04 09:09:17
Team Tidebound,Tundra Esports,Team Tidebound,2025-08-03 14:51:45
Team Tidebound,Tundra Esports,Tundra Esports,2025-08-03 13:34:05
Team Tidebound,Tundra Esports,Team Tidebound,2025-08-03 12:25:22
Team Tidebound,Tundra Esports,Team Tidebound,2025-08-03 11:11:56
Team Tidebound,Tundra Esports,Tundra Esports,2025-08-03 10:09:21
Team Tidebound,Tundra Esports,Tundra Esports,2025-08-02 10:52:39
Team Tidebound,Tundra Esports,Tundra Esports,2025-08-02 09:33:07
Tundra Esports,Nigma Galaxy,Tundra Esports,2025-08-01 14:15:31
Tundra Esports,Nigma Galaxy,Tundra Esports,2025-08-01 13:09:10
Nigma Galaxy,Tundra Esports,Nigma Galaxy,2025-08-01 11:25:03
BB Team,Tundra Esports,Tundra Esports,2025-07-31 06:26:20
Tundra Esports,BB Team,BB Team,2025-07-31 04:46:28
BB Team,Tundra Esports,Tundra Esports,2025-07-31 03:38:15
Nigma Galaxy,Tundra Esports,Nigma Galaxy,2025-07-30 10:18:36
Tundra Esports,Nigma Galaxy,Nigma Galaxy,2025-07-30 09:18:30
Xtreme Gaming,Tundra Esports,Tundra Esports,2025-07-29 14:50:18
Xtreme Gaming,Tundra Esports,Xtreme Gaming,2025-07-29 13:45:04
Xtreme Gaming,Tundra Esports,Tundra Esports,2025-07-29 12:43:17
Tundra Esports,BOOM Esports,Tundra Esports,2025-07-29 05:25:16
Tundra Esports,BOOM Esports,BOOM Esports,2025-07-29 04:14:09
BOOM Esports,Tundra Esports,Tundra Esports,2025-07-29 03:04:08
Tundra Esports,PVISION,PVISION,2025-07-28 05:36:40
PVISION,Tundra Esports,PVISION,2025-07-28 04:31:50
PVISION,Tundra Esports,Tundra Esports,2025-07-28 03:15:15
PVISION,Tundra Esports,PVISION,2025-07-19 12:19:58
PVISION,Tundra Esports,PVISION,2025-07-19 10:59:58
Team Falcons,Tundra Esports,Team Falcons,2025-07-18 15:51:58
Tundra Esports,Team Falcons,Team Falcons,2025-07-18 14:33:21
BB Team,Tundra Esports,Tundra Esports,2025-07-17 12:39:09
BB Team,Tundra Esports,BB Team,2025-07-17 11:24:01
Tundra Esports,BB Team,Tundra Esports,2025-07-17 10:01:47
Tundra Esports,Talon,Tundra Esports,2025-07-13 14:32:59
Talon,Tundra Esports,Tundra Esports,2025-07-13 13:30:03
Team Spirit,Team Falcons,Team Falcons,2025-09-07 21:48:01
Team Spirit,Team Falcons,Team Falcons,2025-09-07 19:55:05
Team Falcons,Team Tidebound,Team Tidebound,2025-09-06 19:11:56
Team Falcons,Team Tidebound,Team Tidebound,2025-09-06 17:26:46
Team Tidebound,Team Falcons,Team Falcons,2025-09-06 15:36:57
Team Liquid,Team Falcons,Team Falcons,2025-09-06 10:18:33
Team Liquid,Team Falcons,Team Falcons,2025-09-06 09:01:08
Xtreme Gaming,Team Falcons,Xtreme Gaming,2025-09-05 12:20:00
Team Falcons,Xtreme Gaming,Xtreme Gaming,2025-09-05 10:24:43
Xtreme Gaming,Team Falcons,Team Falcons,2025-09-05 09:01:02
Team Falcons,Tundra Esports,Team Falcons,2025-09-04 16:47:14
Tundra Esports,Team Falcons,Tundra Esports,2025-09-04 15:37:22
Team Falcons,Tundra Esports,Team Falcons,2025-09-04 14:30:18
Team Nemesis,Team Falcons,Team Falcons,2025-09-04 11:20:31
Team Nemesis,Team Falcons,Team Nemesis,2025-09-04 10:07:10
Team Nemesis,Team Falcons,Team Falcons,2025-09-04 09:05:40
Team Falcons,Team Spirit,Team Falcons,2025-08-24 18:38:13
Team Spirit,Team Falcons,Team Falcons,2025-08-24 17:26:19
Team Falcons,Team Spirit,Team Falcons,2025-08-24 16:03:04
Team Liquid,Team Falcons,Team Falcons,2025-08-24 13:23:32
Team Falcons,Team Liquid,Team Falcons,2025-08-24 12:00:23
PARIVISION,Team Falcons,Team Falcons,2025-08-23 21:44:15
PARIVISION,Team Falcons,Team Falcons,2025-08-23 20:10:35
Team Falcons,PARIVISION,PARIVISION,2025-08-23 18:52:17
Aurora Gaming,Team Falcons,Team Falcons,2025-08-23 11:01:00
Aurora Gaming,Team Falcons,Aurora Gaming,2025-08-23 10:00:05
Team Falcons,Aurora Gaming,Team Falcons,2025-08-23 09:01:39
Gaimin Gladiators,Team Falcons,Team Falcons,2025-08-21 15:10:16
Team Falcons,Gaimin Gladiators,Team Falcons,2025-08-21 14:02:05
Team Falcons,AVULUS,Team Falcons,2025-08-20 20:39:02
AVULUS,Team Falcons,Team Falcons,2025-08-20 19:34:11
BetBoom Team,Team Falcons,Team Falcons,2025-08-20 12:24:37
Team Falcons,BetBoom Team,Team Falcons,2025-08-20 11:20:24
Team Falcons,Team Spirit,Team Spirit,2025-08-19 12:00:18
Team Spirit,Team Falcons,Team Spirit,2025-08-19 11:03:13
